Radius,Simulated,Theoretical,STDEV
836,422.516,393.711,353.879
837,384.528,394.654,281.173
838,388.16,395.597,321.675
839,365.13,396.542,276.846
840,404.777,397.488,308.102
841,414.413,398.435,302.376
842,431.489,399.383,355.065
843,408.579,400.332,309.178
844,391.127,401.282,323.542
845,356.175,402.234,276.246
846,417.513,403.187,310.491
847,418.033,404.14,308.801
848,430.89,405.095,353.082
849,417.422,406.051,318.258
850,398.647,407.008,323.746
851,358.623,407.966,276.023
852,427.853,408.926,314.479
853,422.623,409.886,313.305
854,433.187,410.848,352.833
855,425.909,411.811,322.113
856,404.192,412.774,326.817
857,374.831,413.739,284.231
858,428.038,414.706,325.97
859,422.348,415.673,307.742
860,446.52,416.641,361.084
861,420.564,417.611,312.276
862,411.471,418.581,334.779
863,385.022,419.553,291.425
864,435.572,420.526,331.394
865,436.414,421.5,321.306
866,459.456,422.475,368.873
867,418.134,423.451,319.364
868,395.271,424.429,307.248
869,405.404,425.407,295.928
870,439.996,426.387,332.579
871,458.838,427.368,380.699
872,434.6,428.349,322.701
873,419.42,429.333,313.676
874,402.912,430.317,311.645
875,433.379,431.302,329.811
876,427.48,432.288,310.074
877,471.382,433.276,383.464
878,447.852,434.264,327.266
879,423.066,435.254,331.355
880,389.627,436.245,291.205
881,456.994,437.237,341.646
882,449.575,438.23,343.168
883,473.343,439.225,370.732
884,434.528,440.22,323.749
885,404.998,441.217,314.645
886,422.038,442.214,320.788
887,453.915,443.213,325.478
888,480.974,444.213,399.669
889,457.613,445.214,331.82
890,436.852,446.216,332.704
891,397.66,447.219,297.107
892,469.978,448.224,355.934
893,466.788,449.229,352.42
894,481.92,450.236,375.504
895,439.432,451.244,326.377
896,418.645,452.253,316.774
897,443.581,453.263,337.258
898,455.447,454.274,332.211
899,492.075,455.286,396.272
900,468.186,456.3,336.87
901,441.345,457.314,340.043
902,415.489,458.33,305.689
